"sep=,"
10,16200
1010,45500
2010,56400
3010,150000
4010,108100
5010,135000
6010,167200
7010,223600
8010,263100
9010,322200
10010,632500
11010,467200
12010,530600
13010,588000
14010,632600
15010,670100
16010,2428300
17010,285100
18010,243600
19010,282800
20010,377100
21010,251200
22010,1111600
23010,533900
24010,364800
25010,488100
26010,296300
27010,467900
28010,500400
29010,546500
30010,527600
31010,576400
32010,591600
33010,646400
34010,470700
35010,668500
36010,651100
37010,659200
38010,683000
39010,765400
40010,770700
41010,808100
42010,803900
43010,818900
44010,823600
45010,838500
46010,958900
47010,939800
48010,969000
49010,949600
50010,971700
51010,945500
52010,996600
53010,1025400
54010,1039300
55010,1020200
56010,1120600
57010,1095200
58010,1096700
59010,1093500
60010,1135000
61010,1176600
62010,1172800
63010,1205500
64010,1238300
65010,1233300
66010,1280600
67010,1313100
68010,1663800
69010,1370900
70010,1360600
71010,1453000
72010,1484700
73010,1697200
74010,1502200
75010,1454400
76010,1412500
77010,1495400
78010,1850400
79010,1783700
80010,1600000
81010,1574100
82010,1561000
83010,1676300
84010,1952400
85010,1637000
86010,1704100
87010,1719800
88010,1647800
89010,1755400
90010,1807200
